# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Sep 24 14:02:02 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,hostname,pl_letter,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_lum,ra,dec,sy_dist,sy_vmag
11 Com b,11 Com,b,1,2,1,323.21000000,1.178000,,4914.89849,0.238000,,4874.00,13.76,2.09,1.978,185.1787793,17.7932516,93.1846000,4.7230700
11 UMi b,11 UMi,b,1,1,1,516.21997000,1.530000,,4684.81420,0.080000,,4213.00,29.79,2.78,,229.2745954,71.8239428,125.3210000,5.0130000
14 And b,14 And,b,1,1,1,186.76000000,0.775000,,1131.15130,0.000000,,4888.00,11.55,1.78,1.840,352.8241500,39.2358367,75.4392000,5.2313300
14 Her b,14 Her,b,1,1,2,1765.03890000,2.774000,,2559.47216,0.373000,,,,0.91,,242.6021014,43.8163621,17.9323000,6.6193500
16 Cyg B b,16 Cyg B,b,1,3,1,798.50000000,1.660000,,565.73740,0.680000,,5750.00,1.13,1.08,,295.4656422,50.5168243,21.1397000,6.2150000
17 Sco b,17 Sco,b,1,1,1,578.38000000,1.450000,,1373.01872,0.060000,,4157.00,25.92,1.22,2.254,243.4620874,-11.8377905,124.9530000,5.2260600
18 Del b,18 Del,b,1,2,1,982.85000000,2.476000,,2926.24614,0.024000,,4980.00,8.80,2.10,1.634,314.6078375,10.8391378,76.2220000,5.5104800
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,1,,330.000000,,3000.00000,,1700,4060.00,,0.85,-0.370,242.3762343,-21.0831403,139.1350000,12.6180000
24 Boo b,24 Boo,b,1,1,1,30.33000000,0.194000,,280.64248,0.032000,,4816.00,12.19,1.05,1.877,217.1555242,49.8446488,95.9863000,5.5900000
24 Sex b,24 Sex,b,1,1,2,452.80000000,1.333000,,632.46000,0.090000,,5098.00,4.90,1.54,1.164,155.8684866,-0.9023998,72.0691000,6.4535000
24 Sex c,24 Sex,c,1,1,2,883.00000000,2.080000,,273.32000,0.290000,,5098.00,4.90,1.54,1.164,155.8684866,-0.9023998,72.0691000,6.4535000
2M0437 b,2MASS J04372171+2651014,b,1,1,1,,118.000000,,1271.31363,,1450,3100.00,0.84,0.17,-1.164,69.3405531,26.8502997,128.4840000,16.1860000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,1,2,1,,84.000000,,4131.79000,,,,,0.19,,15.8992489,-55.2658291,,15.7880000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,1,1,1,,52.000000,,7786.50000,,,3530.00,,0.40,-1.720,20.7128012,-24.6646128,33.8281000,14.2440000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,1,1,1,,156.000000,16.141,4417.83700,,,3064.00,0.28,0.11,-2.230,34.8427046,-39.4230767,,
2MASS J0249-0557 c,2MASS J0249-0557 A,c,1,2,1,,1950.000000,,3686.80952,,,,,0.05,-2.590,42.4851627,-5.9599921,66.0613000,18.3000000
2MASS J03590986+2009361 b,2MASS J03590986+2009361,b,1,1,1,,572.000000,,5720.91133,,2369,,,,,59.7911026,20.1599759,117.4350000,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,1,1,1,,15.000000,,2383.60000,,,,,0.02,,70.4371079,23.0308544,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,b,1,1,1,,266.000000,,8899.19540,,2677,,,,,165.3295388,-77.5440912,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,b,1,1,1,,587.000000,,6356.56814,,2506,,,,,178.7691634,-79.3197558,100.8620000,16.9570000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,1,1,1,,55.000000,,1589.15000,,1250,,,0.02,,181.8890906,-39.5484399,64.3080000,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,1,2,3,406.00000000,,,591.16084,0.330000,,29564.00,0.20,0.48,,294.6359173,46.0664076,396.3320000,12.6510000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,b,1,1,1,,7493.000000,,3813.94088,,1616,,,,,321.3662989,-81.6414894,34.1154000,11.8040000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,1,1,1,,230.000000,,3972.87500,,,4045.00,,0.60,,339.1025931,47.8616830,69.5737000,12.3680000
30 Ari B b,30 Ari B,b,1,4,1,335.10001000,0.990000,,4392.41060,0.290000,,6331.00,1.41,1.93,,39.2412736,24.6480103,44.6570000,7.0920900
4 UMa b,4 UMa,b,1,1,1,270.27000000,0.877000,,2511.48007,0.453000,,4415.00,18.11,1.23,,130.0528099,64.3280504,73.4603000,4.5801000
42 Dra b,42 Dra,b,1,2,1,479.10000000,1.190000,,1233.13000,0.380000,,4200.00,22.03,0.98,,276.4975053,65.5633652,90.6545000,4.8262000
47 UMa b,47 UMa,b,1,1,3,1078.00000000,2.100000,,804.08000,0.032000,,5872.00,1.21,1.06,0.198,164.8647611,40.4304931,13.7967000,5.0335200
47 UMa c,47 UMa,c,1,1,3,2391.00000000,3.600000,,171.62100,0.098000,,5872.00,1.21,1.06,0.198,164.8647611,40.4304931,13.7967000,5.0335200
47 UMa d,47 UMa,d,1,1,3,14002.00000000,11.600000,,521.22000,0.160000,,5872.00,1.21,1.06,0.198,164.8647611,40.4304931,13.7967000,5.0335200
51 Eri b,51 Eri,b,1,3,1,,13.200000,,635.66000,,700,,,1.75,0.850,69.4007424,-2.4738245,29.7575000,5.2114900
