pl_name, points, dist(pa), ra(deg), dec(deg), magn, mas
11 Com b,1.6413623307345095,93.1846000,185.1787793,17.7932516,no data,12.641573822283938,
11 UMi b,1.8988844054118206,125.3210000,229.2745954,71.8239428,no data,12.208648191444372,
14 And b,1.6366612111292962,75.4392000,352.8241500,39.2358367,no data,10.27317362856446,
14 Her b,1,17.9323000,242.6021014,43.8163621,no data,154.6929284029377,
16 Cyg B b,1.391304347826087,21.1397000,295.4656422,50.5168243,no data,78.52523924180569,
17 Sco b,1.9244647582391148,124.9530000,243.4620874,-11.8377905,no data,11.604363240578458,
18 Del b,1.606425702811245,76.2220000,314.6078375,10.8391378,no data,32.48405972029073,
1RXS J160929.1-210524 b,1.9704433497536946,139.1350000,242.3762343,-21.0831403,no data,2371.7971754051823,
24 Boo b,1.6611295681063123,95.9863000,217.1555242,49.8446488,no data,2.021121764251774,
24 Sex b,2.569242840329541,72.0691000,155.8684866,-0.9023998,no data,18.496137734479824,
24 Sex c,2.569242840329541,72.0691000,155.8684866,-0.9023998,no data,28.861190163329358,
2M0437 b,2,128.4840000,69.3405531,26.8502997,no data,918.4022913358862,
2MASS J01033563-5515561 AB b,0,,15.8992489,-55.2658291,no data,no data,
2MASS J01225093-2439505 b,2,33.8281000,20.7128012,-24.6646128,no data,1537.1835840617712,
2MASS J02192210-3925225 b,4.080675639558906,,34.8427046,-39.4230767,no data,no data,
2MASS J0249-0557 c,0,66.0613000,42.4851627,-5.9599921,no data,29518.0385490446,
2MASS J03590986+2009361 b,0,117.4350000,59.7911026,20.1599759,no data,4870.779580193299,
2MASS J04414489+2301513 b,0,,70.4371079,23.0308544,no data,no data,
2MASS J11011926-7732383 b,0,,165.3295388,-77.5440912,no data,no data,
2MASS J11550485-7919108 b,0,100.8620000,178.7691634,-79.3197558,no data,5819.833039202078,
2MASS J12073346-3932539 b,0,64.3080000,181.8890906,-39.5484399,no data,855.2590657460968,
2MASS J19383260+4603591 b,2,396.3320000,294.6359173,46.0664076,no data,no data,
2MASS J21252752-8138278 b,0,34.1154000,321.3662989,-81.6414894,no data,219636.8795324106,
2MASS J22362452+4751425 b,1.9777503090234858,69.5737000,339.1025931,47.8616830,no data,3305.846893294449,
30 Ari B b,1.2636234402148159,44.6570000,39.2412736,24.6480103,no data,22.168976868128176,
4 UMa b,1.812004530011325,73.4603000,130.0528099,64.3280504,no data,11.938421160817475,
42 Dra b,1.9047619047619047,90.6545000,276.4975053,65.5633652,no data,13.126761495568338,
47 UMa b,3.362397820163488,13.7967000,164.8647611,40.4304931,no data,152.2103111613647,
47 UMa c,3.362397820163488,13.7967000,164.8647611,40.4304931,no data,260.9319619909109,
47 UMa d,3.362397820163488,13.7967000,164.8647611,40.4304931,no data,840.7807664151572,
51 Eri b,0,29.7575000,69.4007424,-2.4738245,no data,443.5856506763001,
